"replicate","pipeline","metric","dimension","score","rank"
4,"smooth_eq","spatial_entropy",6,-3.04191549980506,7
4,"smooth_eq","spatial_entropy",5,-3.05125861884848,8
4,"smooth_eq","spatial_entropy",9,-3.05964766385856,9
4,"smooth_eq","spatial_entropy",8,-3.07268894725519,10
5,"raw","morans_I",1,0.762053898511108,1
5,"raw","morans_I",2,0.492681344998073,2
5,"raw","morans_I",8,0.0373315585826389,3
5,"raw","morans_I",4,0.00706211805451931,4
5,"raw","morans_I",10,0.00689260459695448,5
5,"raw","morans_I",5,-0.00188968561316883,6
5,"raw","morans_I",7,-0.0020388063698123,7
5,"raw","morans_I",3,-0.00330486775569392,8
5,"raw","morans_I",6,-0.0165465651705658,9
5,"raw","morans_I",9,-0.0175470893920558,10
5,"raw","gearys_C",1,1.76902063211841,1
5,"raw","gearys_C",2,1.49181912362877,2
5,"raw","gearys_C",8,1.03377856180551,3
5,"raw","gearys_C",4,1.00979076160225,4
5,"raw","gearys_C",7,1.0063484611714,5
5,"raw","gearys_C",10,1.00452979641784,6
5,"raw","gearys_C",5,1.00123486584639,7
5,"raw","gearys_C",3,0.99383239172396,8
5,"raw","gearys_C",6,0.974833749847237,9
5,"raw","gearys_C",9,0.973045690341934,10
5,"raw","spatial_entropy",1,-2.74658377760024,1
5,"raw","spatial_entropy",2,-2.89721325444444,2
5,"raw","spatial_entropy",6,-2.92662803629949,3
5,"raw","spatial_entropy",5,-2.93520488866365,4
5,"raw","spatial_entropy",3,-2.97411359263323,5
5,"raw","spatial_entropy",8,-2.97828929713624,6
5,"raw","spatial_entropy",7,-3.00130449662494,7
5,"raw","spatial_entropy",9,-3.01722411845158,8
5,"raw","spatial_entropy",10,-3.02103596920827,9
5,"raw","spatial_entropy",4,-3.05823080278706,10
5,"smoothed","morans_I",1,0.798669338101287,1
5,"smoothed","morans_I",2,0.566288756689075,2
5,"smoothed","morans_I",3,0.0417774032054987,3
5,"smoothed","morans_I",8,0.0373315585826389,4
5,"smoothed","morans_I",4,0.00706211805451931,5
5,"smoothed","morans_I",10,0.00689260459695448,6
5,"smoothed","morans_I",5,-0.00188968561316883,7
5,"smoothed","morans_I",7,-0.0020388063698123,8
5,"smoothed","morans_I",6,-0.0165465651705658,9
5,"smoothed","morans_I",9,-0.0175470893920558,10
5,"smoothed","gearys_C",1,1.80767355034967,1
5,"smoothed","gearys_C",2,1.56857587100687,2
5,"smoothed","gearys_C",3,1.05141565991037,3
5,"smoothed","gearys_C",8,1.03377856180551,4
5,"smoothed","gearys_C",4,1.00979076160225,5
5,"smoothed","gearys_C",7,1.0063484611714,6
5,"smoothed","gearys_C",10,1.00452979641784,7
5,"smoothed","gearys_C",5,1.00123486584639,8
5,"smoothed","gearys_C",6,0.974833749847237,9
5,"smoothed","gearys_C",9,0.973045690341934,10
5,"smoothed","spatial_entropy",1,-2.64858951918481,1
5,"smoothed","spatial_entropy",2,-2.83743340726277,2
5,"smoothed","spatial_entropy",6,-2.92662803629949,3
5,"smoothed","spatial_entropy",3,-2.92973238008523,4
5,"smoothed","spatial_entropy",5,-2.93520488866365,5
5,"smoothed","spatial_entropy",8,-2.97828929713624,6
5,"smoothed","spatial_entropy",7,-3.00130449662494,7
5,"smoothed","spatial_entropy",9,-3.01722411845158,8
5,"smoothed","spatial_entropy",10,-3.02103596920827,9
5,"smoothed","spatial_entropy",4,-3.05823080278706,10
5,"smooth_eq","morans_I",1,0.802330514850645,1
5,"smooth_eq","morans_I",2,0.57061541316607,2
5,"smooth_eq","morans_I",3,0.0407978709554063,3
5,"smooth_eq","morans_I",8,0.0373315585826389,4
5,"smooth_eq","morans_I",4,0.00706211805451931,5
5,"smooth_eq","morans_I",10,0.00689260459695448,6
5,"smooth_eq","morans_I",5,-0.00188968561316883,7
5,"smooth_eq","morans_I",7,-0.0020388063698123,8
5,"smooth_eq","morans_I",6,-0.0165465651705658,9
5,"smooth_eq","morans_I",9,-0.0175470893920558,10
5,"smooth_eq","gearys_C",1,1.80995440997458,1
5,"smooth_eq","gearys_C",2,1.574299668077,2
5,"smooth_eq","gearys_C",3,1.04938302823911,3
5,"smooth_eq","gearys_C",8,1.03377856180551,4
5,"smooth_eq","gearys_C",4,1.00979076160225,5
5,"smooth_eq","gearys_C",7,1.0063484611714,6
5,"smooth_eq","gearys_C",10,1.00452979641784,7
5,"smooth_eq","gearys_C",5,1.00123486584639,8
5,"smooth_eq","gearys_C",6,0.974833749847237,9
5,"smooth_eq","gearys_C",9,0.973045690341934,10
5,"smooth_eq","spatial_entropy",1,-2.65209038732606,1
5,"smooth_eq","spatial_entropy",2,-2.89548894770636,2
5,"smooth_eq","spatial_entropy",6,-2.92662803629949,3
5,"smooth_eq","spatial_entropy",5,-2.93520488866365,4
5,"smooth_eq","spatial_entropy",3,-2.95072372697297,5
5,"smooth_eq","spatial_entropy",8,-2.97828929713624,6
5,"smooth_eq","spatial_entropy",7,-3.00130449662494,7
5,"smooth_eq","spatial_entropy",9,-3.01722411845158,8
5,"smooth_eq","spatial_entropy",10,-3.02103596920827,9
5,"smooth_eq","spatial_entropy",4,-3.05823080278706,10
